entity,year,plastic_production,ocean_pollution_share,code,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita
Africa,2019,,7.98931654,UNKNOWN,,,,,10.46592827
Albania,2019,,0.159782247,ALB,,,,,24.23915307
Algeria,2019,,0.589509708,DZA,,,,,17.75899473
Americas (excl. USA),2000,,,UNKNOWN,4.721963,1.2200574,32.702644,61.355328,
Americas (excl. USA),2001,,,UNKNOWN,4.9725046,1.2086724,32.65127,61.167557,
Americas (excl. USA),2002,,,UNKNOWN,5.2274694,1.1975662,32.610554,60.964405,
Americas (excl. USA),2003,,,UNKNOWN,5.4825106,1.186352,32.54644,60.7847,
Americas (excl. USA),2004,,,UNKNOWN,5.7400074,1.1752826,32.48097,60.603745,
Americas (excl. USA),2005,,,UNKNOWN,5.9932656,1.1643187,32.38634,60.456074,
Americas (excl. USA),2006,,,UNKNOWN,6.248887,1.1536299,32.298714,60.298763,
Americas (excl. USA),2007,,,UNKNOWN,6.504815,1.1429298,32.198456,60.153793,
Americas (excl. USA),2008,,,UNKNOWN,6.750381,1.1313322,32.026604,60.091694,
Americas (excl. USA),2009,,,UNKNOWN,7.001762,1.1201167,31.879993,59.998123,
Americas (excl. USA),2010,,,UNKNOWN,7.260716,1.1110171,31.71632,59.91195,
Americas (excl. USA),2011,,,UNKNOWN,7.5179963,1.1020877,31.516384,59.863525,
Americas (excl. USA),2012,,,UNKNOWN,7.769329,1.0941856,31.313433,59.823048,
Americas (excl. USA),2013,,,UNKNOWN,8.0173,1.0871824,31.086756,59.80876,
Americas (excl. USA),2014,,,UNKNOWN,8.261709,1.0832841,30.869202,59.78581,
Americas (excl. USA),2015,,,UNKNOWN,8.545544,1.0632468,30.585459,59.805756,
Americas (excl. USA),2016,,,UNKNOWN,8.805076,1.0594409,30.192081,59.943398,
Americas (excl. USA),2017,,,UNKNOWN,9.050159,1.0606065,29.824228,60.065014,
Americas (excl. USA),2018,,,UNKNOWN,9.3020315,1.0537329,29.444986,60.19925,
Americas (excl. USA),2019,,,UNKNOWN,9.554245,1.1592599,29.180883,60.10561,
Angola,2019,,0.087803663,AGO,,,,,7.445278869
Antigua and Barbuda,2019,,0.000204195,ATG,,,,,6.463917526
Argentina,2019,,0.422376457,ARG,,,,,10.40191152
Asia,2019,,80.99356991,UNKNOWN,,,,,8.667235444
Asia (excl. China and India),2000,,,UNKNOWN,3.8260822,10.439383,36.90847,48.82608,
Asia (excl. China and India),2001,,,UNKNOWN,4.0782595,10.978967,36.89078,48.051964,
Asia (excl. China and India),2002,,,UNKNOWN,4.3347645,11.516974,36.843292,47.304955,
Asia (excl. China and India),2003,,,UNKNOWN,4.5875983,12.036433,36.779625,46.59634,
Asia (excl. China and India),2004,,,UNKNOWN,4.8415866,12.546595,36.695618,45.916195,
Asia (excl. China and India),2005,,,UNKNOWN,5.084951,13.035166,36.599823,45.280056,
Asia (excl. China and India),2006,,,UNKNOWN,5.3303037,13.520215,36.482292,44.6672,
Asia (excl. China and India),2007,,,UNKNOWN,5.5731425,13.991865,36.3509,44.084095,
Asia (excl. China and India),2008,,,UNKNOWN,5.789884,14.406246,36.239586,43.564274,
Asia (excl. China and India),2009,,,UNKNOWN,6.0158916,14.830825,36.098736,43.054558,
Asia (excl. China and India),2010,,,UNKNOWN,6.2616835,15.259308,35.94254,42.536484,
Asia (excl. China and India),2011,,,UNKNOWN,6.5045176,15.73903,35.716637,42.03982,
Asia (excl. China and India),2012,,,UNKNOWN,6.731505,16.145636,35.53132,41.591534,
Asia (excl. China and India),2013,,,UNKNOWN,6.9581046,16.596796,35.301987,41.14312,
Asia (excl. China and India),2014,,,UNKNOWN,7.181574,16.968782,35.11712,40.732525,
Asia (excl. China and India),2015,,,UNKNOWN,7.4340367,17.335096,34.900837,40.330025,
Asia (excl. China and India),2016,,,UNKNOWN,7.6610985,17.633564,34.71078,39.994568,
Asia (excl. China and India),2017,,,UNKNOWN,7.887815,17.935818,34.513863,39.662506,
