entity,year,plastic_production,ocean_pollution_share,code,recycled_share,incinerated_share,mismanaged_share,landfilled_share,mismanaged_per_capita,risk_score,risk_category
Africa,2019,,0.09864136806017715,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.15052129694125566,14.327665471462295,Low
Albania,2019,,0.0019727769399169575,ALB,0.4899162842130613,,0.40902492174535693,,0.34865972091788483,14.42369030618447,Low
Algeria,2019,,0.00727847542286459,DZA,0.4899162842130613,,0.40902492174535693,,0.25543766295752907,12.771477086295258,Low
Americas (excl. USA),2019,,0.0003145098064982921,UNKNOWN,0.5727319907600565,1.1592599,0.4267488368102102,60.10561,0.08601193657783439,8.807964320522359,Low
Angola,2019,,0.0010840818980761976,AGO,0.4899162842130613,,0.40902492174535693,,0.10706693382797164,9.556286762712574,Low
Antigua and Barbuda,2019,,2.521126062561526e-06,ATG,0.4899162842130613,,0.40902492174535693,,0.0929492966967162,9.23067158920692,Low
Argentina,2019,,0.005214938142241963,ARG,0.4899162842130613,,0.40902492174535693,,0.1496003667932844,10.572189671785459,Low
Asia,2019,,1.0,UNKNOWN,0.4899162842130613,,0.40902492174535693,,0.12464571827781082,49.864499175786314,Medium
Asia (excl. China and India),2019,,0.0003145098064982921,UNKNOWN,0.4367132847365677,18.513683,0.5027617312111885,39.38922,0.08601193657783439,12.448538212786595,Low
Australia,2019,,4.0337930574370454e-05,AUS,0.4899162842130613,,0.40902492174535693,,0.0029666864293660267,7.432532056040388,Low
Bahamas,2019,,2.521121123897871e-05,BHS,0.4899162842130613,,0.40902492174535693,,0.0817637545080769,9.007868348841189,Low
Bahrain,2019,,0.0,BHR,0.4899162842130613,,0.40902492174535693,,0.009104297985714077,7.553670769944374,Low
Bangladesh,2019,,0.031060206887971707,BGD,0.4899162842130613,,0.40902492174535693,,0.0901324317456932,10.416641720662826,Low
Barbados,2019,,5.672521911437252e-05,BRB,0.4899162842130613,,0.40902492174535693,,0.043669551855108645,8.247244856096842,Low
Belgium,2019,,4.285905663693198e-05,BEL,0.4899162842130613,,0.40902492174535693,,0.0028083573801396186,7.429466320098363,Low
Belize,2019,,0.0004714495736196152,BLZ,0.4899162842130613,,0.40902492174535693,,0.22205500960447702,11.831542985264418,Low
Benin,2019,,0.002066058406685188,BEN,0.4899162842130613,,0.40902492174535693,,0.1625001895931005,10.70423093835951,Low
Bosnia and Herzegovina,2019,,7.56336584102544e-06,BIH,0.4899162842130613,,0.40902492174535693,,0.24205231068727695,12.212933558609274,Low
Brazil,2019,,0.04764792044959017,BRA,0.4899162842130613,,0.40902492174535693,,0.22467332794684974,13.770968187150695,Low
Brunei,2019,,0.00016891508813850727,BRN,0.4899162842130613,,0.40902492174535693,,0.022951526199815293,7.837371937751938,Low
Bulgaria,2019,,8.823922698976635e-06,BGR,0.4899162842130613,,0.40902492174535693,,0.006366652541711633,7.499270817972286,Low
Burkina Faso,2019,,0.0,BFA,0.4899162842130613,,0.40902492174535693,,0.22458444633909191,11.863273737011932,Low
Cambodia,2019,,0.0014030036597506485,KHM,0.4899162842130613,,0.40902492174535693,,0.215913188283139,11.745968722282898,Low
Cameroon,2019,,0.013451439431681176,CMR,0.4899162842130613,,0.40902492174535693,,0.3217437651426156,14.344517690349653,Low
Canada,2019,,0.00030001335941854643,CAN,0.4899162842130613,,0.40902492174535693,,0.009030858018746216,7.564202504981759,Low
